https://gitlab.com/infamoustrey/stockify,A stock market monitoring web app,market monitoring
https://gitlab.com/komal.traveltourister/hotel-booking-in-nagpur,"We renders hotel services to our clients in widely manner depends on the preference of our clients in terms of reception,guests room services including food services as well accommodations in the best manner.
http://www.aranyatours.com/our-services/h",terms of service
https://gitlab.com/medworthy/terms-of-service,Official documentation of Minds policies. ,terms of service
https://gitlab.com/neetu.traveltourister/air-ticket-booking-agent-in-kolkata,"We provides the best services in terms of the domestic as well international ticketing for our clients to makes your trip hassle and comfortable in your lifetime http://www.vedahamtourstravels.in/services/air-ticketing
",terms of service
https://gitlab.com/neetu.traveltourister/tour-operators-in-kolkata,"We offers the best tour packages in terms of the accommodations, foods and cuisine, sightseeing and booking of their trip for domestic as well international airlines to makes your trip http://www.vedahamtourstravels.in/services/tour-operator
",terms of service
https://gitlab.com/minds/terms-of-service,Official documentation of Minds policies. ,terms of service
https://gitlab.com/komal.traveltourister/hotel-booking-agent-in-andaman,"We provides the best accommodations where you have the best services and makes your trip the most best and high quality services in terms of stays and foods.
http://www.travelagentinportblair.com/services/hotel-booking",terms of service
https://gitlab.com/AdrienneCohea/phoenixcommunity,"An exercise in pissing off bootlicking capitalists who want to enforce ""terms of service"" or some bullshit.",terms of service
https://gitlab.com/LeeDoHyun/terms-of-service,SwiftNode Terms of Service,terms of service
https://gitlab.com/Spence/Hybrid-Cloud-Applications-and-Services,"A hybrid cloud model blends elements of both the private and the public cloud. In the simplest terms, the hybrid model is primarily a private cloud that allows an organization to tap into a public cloud when and where it makes sense. This code shows you how to expose your on-premise applications and services to public cloud, and vice versa.",terms of service
https://gitlab.com/jankovec/deal-steal,Web service for comparing online sales offers in terms of quality and affordability relative to other offers.,terms of service
https://gitlab.com/milton_rincon/website-terms-of-service,html website with a dummy of terms and conditions of service: https://miltonrincon.github.io/website-terms-of-service/,terms of service
https://gitlab.com/HammondCaseyM/terms-of-service-game,Game based on Vue.js that helps to educate about terms of service,terms of service
https://gitlab.com/jake-windle/terms-of-service-game,Game based on Vue.js that helps to educate about terms of service,terms of service
https://gitlab.com/Druzyna-A/KnowledgeBase,3rd RSI module - knowledge base. Integration with 3rd party services and websites in terms of information about products/services offered by RSI project.,terms of service
https://gitlab.com/vfulco/terms-of-service-CI-boilerplate,Terms of Service or Privacy Policy Boilerplate using Latex & Markdown with  Gitlab Continuous Integration,terms of service
https://gitlab.com/Zipier/legal,"Publicly accessible master copy of Zipier's Terms of Service (ToS), Privacy policy, and Copyright policy.",terms of service
https://gitlab.com/dimitrieh/terms-of-service-CI-boilerplate,Terms of Service or Privacy Policy Boilerplate using Latex & Markdown with  Gitlab Continuous Integration,terms of service
https://gitlab.com/BITS-Pilani-Hyderabad-Campus/Bits-Internet-Accessibility-Supervisor,Monitors Internet activity in the campus with automated login for Windows.,Internet accessibility
https://gitlab.com/563712793/axe-core,Accessibility engine for automated Web UI testing,web accessibility
https://gitlab.com/radhefa2/wcag,Web Content Accessibility Guidelines,web accessibility
https://gitlab.com/jnickgo/axe-selenium-webdriver,An exploratory sample application that utilized Selenium WebDriver and aXe for automated accessibility testing.,web accessibility
https://gitlab.com/ccrpc/access-score,"Accessibility scores for walking, biking, bus, and driving using
Web Map GL.",web accessibility
https://gitlab.com/huarxia/PIGNOSE-Tab,jQuery tab plugin supporting web accessibility.,web accessibility
https://gitlab.com/mortezaomidi/access-route,"A mapping website that calculates routes around accessibility obstacles, written in django and postgis",web accessibility
https://gitlab.com/jacktheclicker/wcag,Web Content Accessibility Guidelines,web accessibility
https://gitlab.com/101-side/accessibility,Web Accessibility,web accessibility
https://gitlab.com/pikselkraft/npm-scripts-boilerplate-XL,"This boilerplate is made for the front-end developer who wants to develop 100% custom template. It uses the last web standards and focuses on quality, accessibility and workflow optimisation.",web accessibility
https://gitlab.com/18runt88/wcag-em-report-tool,Interactive Guide to Assist Managing Web Accessibility Evaluations,web accessibility
https://gitlab.com/johnantoni/axe-core,Accessibility engine for automated Web UI testing,web accessibility
https://gitlab.com/vigou3/ime-2017-insurance-of-things,"A foray into the Insurance of Things, Or pricing individual objects without prior data - IME 2017",individual pricing
